"filename", "language", "Markdown", "CSV", "JSON", "HTML", "XML", "Python", "CSS", "pip requirements", "JavaScript", "comment", "blank", "total"
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\app\models\course.py", "Python", 0, 0, 0, 0, 0, 178, 0, 0, 0, 22, 52, 252
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\app\models\formation.py", "Python", 0, 0, 0, 0, 0, 693, 0, 0, 0, 57, 152, 902
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\app\models\test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\app\models\user.py", "Python", 0, 0, 0, 0, 0, 251, 0, 0, 0, 25, 115, 391
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\app\routes.py", "Python", 0, 0, 0, 0, 0, 1485, 0, 0, 0, 126, 510, 2121
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\app\utile.py", "Python", 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 17, 70
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\config.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\databaseStructureCategories.json", "JSON", 0, 0, 121, 0, 0, 0, 0, 0, 0, 4, 9, 134
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\databaseStructureUsers.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\guidance.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\back-end\run.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\details.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\diff.csv", "CSV", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\results.csv", "CSV", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-12-34\results.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\details.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\diff.csv", "CSV", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\results.csv", "CSV", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-13-37\results.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\details.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\diff.csv", "CSV", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\results.csv", "CSV", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-09\results.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\details.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\diff.csv", "CSV", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\results.csv", "CSV", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-10_02-14-41\results.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\details.md", "Markdown", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\diff-details.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\diff.csv", "CSV", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\diff.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\results.csv", "CSV", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\.VSCodeCounter\2024-09-16_00-29-45\results.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\front-end\EspaceFormation.html", "HTML", 0, 0, 0, 157, 0, 0, 0, 0, 0, 6, 23, 186
